i,j,value,x,y
1,1,0.0001483199849599157,0.05263157894736842,0.05263157894736842
1,7,0.0008665520889166847,0.05263157894736842,0.3684210526315789
1,12,0.0007798658849863783,0.05263157894736842,0.631578947368421
1,18,0.0001178601362165537,0.05263157894736842,0.9473684210526315
7,1,0.0010812465477832386,0.3684210526315789,0.05263157894736842
7,7,0.007989321858712527,0.3684210526315789,0.3684210526315789
7,12,0.006348553216025888,0.3684210526315789,0.631578947368421
7,18,0.0007798658849863784,0.3684210526315789,0.9473684210526315
12,1,0.0012556850630433291,0.631578947368421,0.05263157894736842
12,7,0.010991376895731306,0.631578947368421,0.3684210526315789
12,12,0.007989321858712534,0.631578947368421,0.631578947368421
12,18,0.0008665520889166844,0.631578947368421,0.9473684210526315
18,1,0.000199585028913214,0.9473684210526315,0.05263157894736842
18,7,0.0012556850630433295,0.9473684210526315,0.3684210526315789
18,12,0.0010812465477832395,0.9473684210526315,0.631578947368421
18,18,0.0001483199849599157,0.9473684210526315,0.9473684210526315
